MYear,Com_Name,Class,Order,Family,IUCN Classification
2021/6,Squirrel_Cuckoo,Aves,Passeriformes,Tyrannidae,LC
2021/6,White-rumped_Swallow,Aves,Passeriformes,Tyrannidae,LC
2021/6,White-rumped_Swallow,Aves,Passeriformes,Tyrannidae,LC
2021/6,White-rumped_Swallow,Aves,Passeriformes,Icteridae,LC
2021/6,Guira_Cuckoo,Aves,Charadriiformes,Jacanidae,LC
2021/6,Guira_Cuckoo,Aves,Passeriformes,Furnariidae,LC
2021/6,Guira_Cuckoo,Aves,Passeriformes,Furnariidae,LC
2021/6,Guira_Cuckoo,Aves,Passeriformes,Furnariidae,LC
2021/6,Guira_Cuckoo,Aves,Passeriformes,Furnariidae,LC
2021/6,Guira_Cuckoo,Aves,Passeriformes,Furnariidae,LC
2021/6,Guira_Cuckoo,Aves,Passeriformes,Furnariidae,LC
2021/6,Smooth_billed_Ani,Aves,Psittaciformes,Psittacidae,LC
2021/6,Smooth_billed_Ani,Aves,Piciformes,Picidae,LC
2021/6,Smooth_billed_Ani,Aves,Piciformes,Picidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/6,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/7,Smooth_billed_Ani,Mammalia,Rodentia,Dasyproctidae,DD
2021/7,Smooth_billed_Ani,Mammalia,Rodentia,Dasyproctidae,DD
2021/7,Smooth_billed_Ani,Mammalia,Rodentia,Dasyproctidae,DD
2021/7,Smooth_billed_Ani,Mammalia,Rodentia,Dasyproctidae,DD
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Furnariidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Icteridae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Icteridae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Icteridae,LC
2021/7,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/7,Smooth_billed_Ani,Aves,Coraciiformes,Alcedinidae,LC
2021/7,Smooth_billed_Ani,Aves,Coraciiformes,Alcedinidae,LC
2021/7,Smooth_billed_Ani,Aves,Coraciiformes,Alcedinidae,LC
2021/7,Smooth_billed_Ani,Aves,Psittaciformes,Psittacidae,LC
2021/7,Smooth_billed_Ani,Aves,Psittaciformes,Psittacidae,LC
2021/7,Smooth_billed_Ani,Aves,Psittaciformes,Psittacidae,LC
2021/7,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/7,Smooth_billed_Ani,Aves,Columbiformes,Columbidae,LC
2021/7,Smooth_billed_Ani,Aves,Passeriformes,Turdidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Turdidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Turdidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Turdidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Turdidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Thraupidae,LC
2021/7,Chaco_Chachalaca,Aves,Columbiformes,Columbidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Tyrannidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Tyrannidae,LC
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Tyrannidae,LC
2021/7,Chaco_Chachalaca,Mammalia,Primates,Atelidae,LC
2021/7,Chaco_Chachalaca,Mammalia,Rodentia,Dasyproctidae,DD
2021/7,Chaco_Chachalaca,Aves,Passeriformes,Furnariidae,LC
2021/7,Narrow-billed_Woodcreeper,Aves,Passeriformes,Furnariidae,LC
2021/7,Narrow-billed_Woodcreeper,Aves,Passeriformes,Furnariidae,LC
2021/7,Great Rufous_Woodcreeper,Aves,Passeriformes,Furnariidae,LC
2021/7,Great Rufous_Woodcreeper,Aves,Passeriformes,Furnariidae,LC
2021/7,Great Rufous_Woodcreeper,Aves,Passeriformes,Furnariidae,LC
2021/7,Great Rufous_Woodcreeper,Aves,Passeriformes,Furnariidae,LC
2021/7,Great Rufous_Woodcreeper,Aves,Passeriformes,Furnariidae,LC
2021/7,Hyacinth_Macaw,Aves,Passeriformes,Icteridae,LC
2021/7,Hyacinth_Macaw,Aves,Passeriformes,Icteridae,LC
2021/7,Hyacinth_Macaw,Aves,Columbiformes,Columbidae,LC
2021/7,Hyacinth_Macaw,Aves,Psittaciformes,Psittacidae,LC
2021/7,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/7,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/7,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/7,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/7,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/8,Blue-and-yellow_Macaw,Mammalia,Rodentia,Caviidae,LC
2021/8,Blue-and-yellow_Macaw,Mammalia,Rodentia,Caviidae,LC
2021/8,Blue-and-yellow_Macaw,Mammalia,Rodentia,Dasyproctidae,DD
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Icteridae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Turdidae,LC
2021/8,Blue-and-yellow_Macaw,Aves,Passeriformes,Turdidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Galliformes,Cracidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Galliformes,Cracidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Passeriformes,Furnariidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/9,Blue-and-yellow_Macaw,Aves,Columbiformes,Columbidae,LC
2021/9,Red-and-green_Macaw,Aves,Columbiformes,Columbidae,LC
2021/9,Red-and-green_Macaw,Aves,Columbiformes,Columbidae,LC
2021/9,Red-and-green_Macaw,Aves,Columbiformes,Columbidae,LC
2021/9,Red-and-green_Macaw,Aves,Columbiformes,Columbidae,LC
2021/9,Red-and-green_Macaw,Aves,Passeriformes,Turdidae,LC
2021/9,Red-and-green_Macaw,Aves,Passeriformes,Turdidae,LC
2021/9,Red-and-green_Macaw,Aves,Passeriformes,Turdidae,LC
2021/9,Red-and-green_Macaw,Aves,Apodiformes,Trochilinae,LC
2021/9,Red-and-green_Macaw,Aves,Apodiformes,Trochilinae,LC
2021/9,Red-and-green_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/9,Red-and-green_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/9,Red-and-green_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/9,Red-and-green_Macaw,Aves,Passeriformes,Tyrannidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Passeriformes,Tyrannidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Passeriformes,Furnariidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Passeriformes,Furnariidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Passeriformes,Furnariidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Columbiformes,Columbidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Columbiformes,Columbidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Columbiformes,Columbidae,LC
2021/9,Swallow-tailed_Hummingbird,Aves,Columbiformes,Columbidae,LC
2021/9,Great_Kiskadee,Aves,Columbiformes,Columbidae,LC
2021/9,Great_Kiskadee,Aves,Columbiformes,Columbidae,LC
2021/9,Great_Kiskadee,Aves,Passeriformes,Turdidae,LC
2021/9,Great_Kiskadee,Aves,Trogoniformes,Trogonidae,LC
2021/9,Great_Kiskadee,Aves,Anseriformes,Anhimidae,LC
2021/9,Great_Kiskadee,Aves,Anseriformes,Anhimidae,LC
2021/9,Great_Kiskadee,Aves,Pelecaniformes,Threskiornithidae,LC
2021/9,Great_Kiskadee,Aves,Piciformes,Ramphastidae,LC
2021/9,Great_Kiskadee,Aves,Passeriformes,Tyrannidae,LC
2021/9,Great_Kiskadee,Aves,Passeriformes,Tyrannidae,LC
2021/10,Great_Kiskadee,Aves,Cuculiformes,Cuculidae,LC
2021/10,Great_Kiskadee,Aves,Cuculiformes,Cuculidae,LC
2021/10,Great_Kiskadee,Aves,Cuculiformes,Cuculidae,LC
2021/10,Great_Kiskadee,Aves,Passeriformes,Tyrannidae,LC
2021/10,Great_Kiskadee,Aves,Passeriformes,Tyrannidae,LC
2021/10,Great_Kiskadee,Aves,Passeriformes,Furnariidae,LC
2021/10,Great_Kiskadee,Aves,Passeriformes,Furnariidae,LC
2021/10,Great_Kiskadee,Aves,Passeriformes,Furnariidae,LC
2021/10,Great_Kiskadee,Aves,Columbiformes,Columbidae,LC
